,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
2598,ENG-Premier League,2526,Sunderland,reinildo,1,2025,77,7432,D,8,662,0,0.07500615995377302,0,0.07500615995377302,0,0.0,2,0,2,1,0.9911900870501995,0.976196926087141,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
22,ENG-Premier League,2122,Arsenal,reiss nelson,1,2021,83,6492,S,1,18,0,0.037433598190546036,0,0.037433598190546036,0,0.060589298605918884,1,1,0,0,0.1122170016169548,0.014194600284099579,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
558,ENG-Premier League,2223,Arsenal,reiss nelson,1,2022,83,6492,S,11,174,3,1.8955533094704151,3,1.8955533094704151,2,1.2082199901342392,12,8,0,0,3.4097877740859985,0.669681042432785,5.0,1.0,18.0,0.2,-0.037433598190546036,-0.037433598190546036,0.037433598190546036,0.0,0.0,0.0,0.0,0.18716799095273018,0.3029464930295944,0,0,4,0,0,0,1
1112,ENG-Premier League,2324,Arsenal,reiss nelson,1,2023,83,6492,F S,15,215,0,0.23842556215822697,0,0.23842556215822697,0,0.6414464898407459,4,5,1,0,3.198990484699607,2.478929640725255,2.0,1.0,15.818181818181818,1.9333333333333333,1.1044466905295849,1.1044466905295849,0.15796277578920126,0.0,1.5517241379310345,1.0344827586206897,2.586206896551724,0.9804586083467665,0.6249413742073651,3,0,3,0,0,1,0
1681,ENG-Premier League,2425,Arsenal,reiss nelson,1,2024,83,6492,M S,12,491,1,1.4182224795222282,1,1.4182224795222282,1,1.1306451223790646,11,13,1,0,4.734423227608204,3.0769786797463894,2.0,1.0,14.333333333333334,2.388888888888889,-0.23842556215822697,-0.23842556215822697,0.05960639053955674,0.0,0.0,0.0,0.0,0.09980604927553687,0.268512484119382,0,3,2,0,1,0,0
2307,ENG-Premier League,2526,Brentford,reiss nelson,1,2025,244,6492,S,2,15,0,0.050453945994377136,0,0.050453945994377136,0,0.0,1,0,0,0,0.050453945994377136,0.0,4.0,0.0,40.916666666666664,5.455555555555556,-0.41822247952222824,-0.41822247952222824,0.12892931632020257,0.0,0.18329938900203666,0.18329938900203666,0.3665987780040733,0.25995931396537786,0.2072465601102155,1,0,4,0,0,0,1
1320,ENG-Premier League,2324,Crystal Palace,remi matthews,1,2023,78,9834,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
965,ENG-Premier League,2223,Nottingham Forest,remo freuler,1,2022,249,1488,M S,28,2178,0,0.3386984970420599,0,0.3386984970420599,0,0.4867018014192581,8,12,5,0,4.259000528603792,3.825942753814161,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
1739,ENG-Premier League,2425,Bournemouth,remy rees-dottin,1,2024,73,13307,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
966,ENG-Premier League,2223,Nottingham Forest,renan lodi,1,2022,249,7891,D M S,28,2236,0,0.751506220549345,0,0.751506220549345,1,1.318730404600501,15,13,7,0,2.764841167256236,1.8108528461307287,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
