,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,lagged_mpm_1,lagged_fmp_1,lagged_xg_perf_1,lagged_npxg_perf_1,lagged_xg_per_shot_1,lagged_penalty_taker_1,lagged_g90_1,lagged_a90_1,lagged_ga90_1,lagged_xg90_1,lagged_xa90_1,lagged_goals_1,lagged_mpm_2,lagged_fmp_2,lagged_xg_perf_2,lagged_npxg_perf_2,lagged_xg_per_shot_2,lagged_penalty_taker_2,lagged_g90_2,lagged_a90_2,lagged_ga90_2,lagged_xg90_2,lagged_xa90_2,lagged_goals_2,main_pos,position_1,position_2,position_3,position_4
3476,ENG-Premier League,2526,Fulham,kenny tete,1,2025,228,5973,D,8,720,0.0,0.2257436290383339,0,0.2257436290383339,0,0.17610117606818676,4,4,1,0,1.2625330202281475,0.9492662698030472,11.0,0.0,81.36363636363636,19.88888888888889,-1.595350006595254,-1.595350006595254,0.06381400026381016,0.0,0.0,0.10055865921787709,0.10055865921787709,0.08021312882322505,0.033940037254597884,0.0,62.857142857142854,9.777777777777779,-0.17817896232008934,-0.17817896232008934,0.29454474058002234,0.0,0.10227272727272727,0.0,0.10227272727272727,0.12049557569182731,0.016514799906872213,1.0,1,1,0,0,0
141,ENG-Premier League,1920,Chelsea,kepa,1,2019,80,5061,GK,33,2970,0.0,0.0,0,0.0,0,0.0,0,0,0,0,5.265828628093004,5.265828628093004,3.0,1.0,90.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
632,ENG-Premier League,2021,Chelsea,kepa,1,2020,80,5061,GK S,7,582,0.0,0.0,0,0.0,0,0.0,0,0,1,0,0.30502480547875166,0.30502480547875166,4.0,1.0,90.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.33888888888889,3.311111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1186,ENG-Premier League,2122,Chelsea,kepa,1,2021,80,5061,GK,4,360,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.7405957020819187,0.7405957020819187,4.0,1.0,83.14285714285714,6.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1727,ENG-Premier League,2223,Chelsea,kepa,1,2022,80,5061,GK,29,2567,0.0,0.0,0,0.0,0,0.0,0,0,1,0,4.026800500229001,4.026800500229001,3.0,1.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.14285714285714,6.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2768,ENG-Premier League,2425,Bournemouth,kepa,1,2024,73,5061,GK,31,2790,0.0,0.06839418411254883,0,0.06839418411254883,0,0.025899898260831833,1,1,3,0,3.4838713705539703,3.4838713705539703,13.0,0.0,88.51724137931035,28.522222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
3477,ENG-Premier League,2526,Fulham,kevin,1,2025,228,14030,M S,8,299,0.0,0.09103512763977051,0,0.09103512763977051,0,0.24400006979703903,4,4,1,0,1.6251916363835335,1.3645070418715477,11.0,0.0,37.46623563218391,4.861111111111111,-0.6236678524874151,-0.6161047355271876,0.03903606297469444,0.0,0.0,0.0,0.0,0.030199373693228924,0.04258685773832575,0.0,37.46623563218391,4.861111111111111,-0.6236678524874151,-0.6161047355271876,0.03903606297469444,0.0,0.0,0.0,0.0,0.030199373693228924,0.04258685773832575,0.0,2,0,1,0,0
398,ENG-Premier League,1920,Southampton,kevin danso,1,2019,74,5261,D S,6,272,0.0,0.07807090133428574,0,0.07807090133428574,1,0.07897820323705673,1,1,0,1,0.49794179759919643,0.49794179759919643,16.0,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
3189,ENG-Premier League,2425,Tottenham,kevin danso,1,2024,82,5261,D S,10,840,0.0,0.27366341184824705,0,0.27366341184824705,0,0.06845882814377546,7,2,0,0,2.7478084787726402,2.7030457369983196,5.0,1.0,45.333333333333336,3.022222222222222,-0.07807090133428574,-0.07807090133428574,0.07807090133428574,0.0,0.0,0.33088235294117646,0.33088235294117646,0.0258322835297269,0.026132493718143773,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
3650,ENG-Premier League,2526,Tottenham,kevin danso,1,2025,82,5261,D S,7,257,0.0,0.0,0,0.0,0,0.0,0,0,3,0,0.324373584240675,0.324373584240675,17.0,0.0,84.0,9.333333333333334,-0.27366341184824705,-0.27366341184824705,0.03909477312117815,0.0,0.0,0.0,0.0,0.02932107984088361,0.007334874443975942,0.0,45.333333333333336,3.022222222222222,-0.07807090133428574,-0.07807090133428574,0.07807090133428574,0.0,0.0,0.33088235294117646,0.33088235294117646,0.0258322835297269,0.026132493718143773,0.0,1,1,0,0,0
